sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000
907921a3-d08f-4ba1-8cce-0e760a9e7044::t7,P0_new_artist_union20_gap_failure,failure,current_config,Sunrise - Slow Hands Remix,Kasper Bjørke,956,,281,centroid.anchor_tracks.cf_bpr,8,False,False,False,False,True,False,False,False,False,True
ab5eac17-909e-4271-8cf9-40c06b27ee56::t2,P0_new_artist_union20_gap_failure,failure,current_config,Sparks,Hilary Duff,580,935,177,dense.clap_text.sonic_nl.audio_laion_clap,5,False,False,False,True,True,False,False,False,False,True
324ddfb5-8a18-4729-9acb-c851907a297c::t3,P0_new_artist_union20_gap_failure,failure,current_config,Acknowledge,Masta Ace,539,708,333,dense.clap_text.sonic_nl.audio_laion_clap,8,False,False,False,False,True,False,False,False,False,True
b466a64b-b3cc-4c62-8a70-8261434f915f::t2,P0_new_artist_union20_gap_failure,failure,current_config,Two To Make It Right,Seduction,409,688,183,centroid.anchor_tracks.audio_laion_clap,8,False,False,False,True,True,False,False,False,False,True
ba68a3cc-5278-4680-917a-4ca66d33ef31::t5,P0_new_artist_union20_gap_failure,failure,current_config,Buttons,The Pussycat Dolls,221,293,79,centroid.anchor_tracks.image_siglip2,8,False,False,True,True,True,False,False,False,False,True
d5fcb591-3744-4ebb-9d1a-5c57c314b7d0::t5,P1_temporal_constraint_failure,failure,current_config,Love Train,The O'Jays,445,599,321,centroid.anchor_tracks.audio_laion_clap,8,False,False,False,False,True,False,False,False,False,True
f2d85aa5-2086-4b1e-9974-d188c43621db::t8,P1_temporal_constraint_failure,failure,current_config,Leraine,Kettel,24,54,53,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,8,False,False,True,True,True,False,True,True,True,True
67b9ba8a-382f-4b70-af76-576848d8cf67::t8,P1_temporal_constraint_failure,failure,current_config,Gangsta Gangsta,N.W.A.,,,382,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,9,False,False,False,False,True,False,False,False,False,False
9468e467-d396-461b-be29-b30b6cf87c35::t5,P1_temporal_constraint_failure,failure,current_config,Midnight,A Tribe Called Quest,,,180,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,8,False,False,False,True,True,False,False,False,False,False
e978bb5b-26af-4c7d-b720-b9210bdddf25::t8,P1_temporal_constraint_failure,failure,current_config,Dear Yvette,"Jane Doe, Masta Ace",,,672,dense.clap_text.sonic_nl.audio_laion_clap,6,False,False,False,False,True,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t3,P1_temporal_constraint_failure,failure,current_config,Conquest of Paradise,Vangelis,,,524,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,8,False,False,False,False,True,False,False,False,False,False
a33a5df0-2c2b-429c-84e6-cde28affd4d5::t6,P1_temporal_constraint_failure,failure,current_config,Thriller,Fall Out Boy,,,,,10,False,False,False,False,False,False,False,False,False,False
3676005d-5b7c-4c48-9b73-3e10dd509c07::t1,P1_temporal_constraint_failure,failure,current_config,Breath and Life,Audiomachine,224,120,27,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,5,False,True,True,True,True,False,False,False,False,True
c4c0c288-dbcd-4970-ad52-901aafe91b88::t4,P1_temporal_constraint_failure,failure,current_config,I Juswanna Chill,Large Professor,604,312,253,centroid.anchor_tracks.cf_bpr,8,False,False,False,False,True,False,False,False,False,True
71bb177a-dab1-4bbc-8508-22d809b05c31::t6,P1_temporal_constraint_failure,failure,current_config,Constant Craving - Remastered,k.d. lang,985,612,146,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,9,False,False,False,True,True,False,False,False,False,True
4d0afb6b-3705-493f-ab16-ca75ea311e1a::t7,P1_rejection_guardrail_failure,failure,current_config,Pilot,"Benjamin Wallfisch, Hans Zimmer",40,4,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,7,True,True,True,True,True,False,True,True,True,True
1e14a07f-7369-4d24-9285-9343b6b18353::t8,P1_rejection_guardrail_failure,failure,current_config,Nordlys,Myrkur,9,9,14,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,7,True,True,True,True,True,True,True,True,True,True
d265b5a9-af57-4070-90f5-692a960c5aaa::t6,P1_rejection_guardrail_failure,failure,current_config,Get Lucky (feat. Pharrell Williams &amp; Nile Rodgers) - Radio Edit,"Nile Rodgers, Pharrell Williams, Daft Punk",,,6,centroid.anchor_tracks.cf_bpr,8,True,True,True,True,True,False,False,False,False,False
b2582e52-6d13-40b4-8552-2d8b63fa6c75::t8,P1_rejection_guardrail_failure,failure,current_config,Soil,System Of A Down,,,24,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,7,False,True,True,True,True,False,False,False,False,False
d265b5a9-af57-4070-90f5-692a960c5aaa::t8,P1_rejection_guardrail_failure,failure,current_config,Motherboard,Daft Punk,,,,,5,False,False,False,False,False,False,False,False,False,False
3a4224d3-1e5b-4bb9-a424-886d5c45d5d3::t8,P1_rejection_guardrail_failure,failure,current_config,Brain Relaxation Sky,Sample Rain Library,20,16,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,8,True,True,True,True,True,True,True,True,True,True
963b3ee7-17d1-4bb3-8a3f-0bc528a1f096::t5,P1_rejection_guardrail_failure,failure,current_config,Go Go Gadget Flow,Lupe Fiasco,,,923,dense.qwen_0_6b.lyric.lyrics_qwen3_embedding_0_6b,5,False,False,False,False,True,False,False,False,False,False
08bea603-846a-428b-aa27-de4dfede7ba9::t8,P1_rejection_guardrail_failure,failure,current_config,Silhouette,Julia Holter,,,,,4,False,False,False,False,False,False,False,False,False,False
0fc60312-9a9d-4658-a950-06fc2441a2ac::t8,P1_rejection_guardrail_failure,failure,current_config,Music Will Untune the Sky,Have A Nice Life,,,807,dense.qwen_8b.attributes.attributes_qwen3_embedding_8b,4,False,False,False,False,True,False,False,False,False,False
3ebc2b49-0f5c-4161-bbcf-e1615821103f::t2,P1_rejection_guardrail_failure,failure,current_config,The Animus 2.0,Jesper Kyd,14,14,7,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,7,True,True,True,True,True,True,True,True,True,True
37097db6-54b8-491b-8512-1df70648548b::t2,P0_named_artist_ranker_failure,failure,current_config,White Ferrari,Frank Ocean,10,10,1,centroid.anchor_tracks.image_siglip2,8,True,True,True,True,True,True,True,True,True,True
f4115525-7e44-40df-8957-e38df99f214d::t4,P0_named_artist_ranker_failure,failure,current_config,Young And Beautiful,Lana Del Rey,23,23,1,lookup.resolved_artist_discography,8,True,True,True,True,True,False,True,True,True,True
eee89ca2-fc86-4a9a-b4c5-2d77cb3346c8::t7,P0_named_artist_ranker_failure,failure,current_config,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,10,10,3,centroid.anchor_tracks.cf_bpr,7,True,True,True,True,True,True,True,True,True,True
44c3948c-bc44-4e40-ae77-82c2fec9c944::t7,P0_named_artist_ranker_failure,failure,current_config,Me Dediqué a Perderte,"Alejandro Fernandez, Alejandro Fernández",,,1,centroid.anchor_tracks.cf_bpr,7,True,True,True,True,True,False,False,False,False,False
899f906b-9b0b-42a6-9689-643eb9f1ed31::t8,P0_named_artist_ranker_failure,failure,current_config,Crawling,Linkin Park,,,54,centroid.anchor_tracks.cf_bpr,8,False,False,True,True,True,False,False,False,False,False
93199894-d3db-4335-8278-e1be175944e4::t6,P0_named_artist_ranker_failure,failure,current_config,Smells Like Teen Spirit,Nirvana,293,293,122,bm25,7,False,False,False,True,True,False,False,False,False,True
7d2bb60e-1046-4956-91d0-cf1dd73037cc::t3,P0_named_artist_ranker_failure,failure,current_config,Hung Up,Madonna,39,46,1,lookup.resolved_artist_discography,8,True,True,True,True,True,False,True,True,True,True
1b406c88-9dfd-42cd-a1f5-9683f35f849b::t1,P0_named_artist_ranker_failure,failure,current_config,93 'Til Infinity,Souls Of Mischief,2,1,1,dense.qwen_8b.metadata.metadata_qwen3_embedding_8b,8,True,True,True,True,True,True,True,True,True,True
7be411cd-f002-459e-8326-3ebe8be10b42::t6,P0_named_artist_ranker_failure,failure,current_config,Army Dreamers,Kate Bush,,,,,5,False,False,False,False,False,False,False,False,False,False
fc78453a-8798-4402-a01a-e9c557f08a03::t2,P0_named_artist_ranker_failure,failure,current_config,En el 2000,Natalia Lafourcade,15,15,1,bm25,7,True,True,True,True,True,True,True,True,True,True
84803908-48e7-41b7-9269-a465a44f4c10::t2,P0_same_album_ranker_failure,failure,current_config,Runaway,"Pusha T, Kanye West",3,2,1,centroid.anchor_tracks.image_siglip2,7,True,True,True,True,True,True,True,True,True,True
6d825b33-dc20-4b3c-a277-0c8214163007::t6,P0_same_album_ranker_failure,failure,current_config,Super Rich Kids,"Frank Ocean, Earl Sweatshirt",,,25,centroid.anchor_tracks.image_siglip2,8,False,True,True,True,True,False,False,False,False,False
942c0b23-c5ad-4270-b23f-3ba456ea0ccf::t5,P0_same_album_ranker_failure,failure,current_config,Alive,Pearl Jam,2,2,6,centroid.anchor_tracks.cf_bpr,8,True,True,True,True,True,True,True,True,True,True
19c7e5bf-0797-40c5-b798-4d024af9558d::t4,P0_same_album_ranker_failure,failure,current_config,Satisfied,"Original Broadway Cast of Hamilton, Renée Elise Goldsberry",26,26,2,centroid.anchor_tracks.image_siglip2,7,True,True,True,True,True,False,True,True,True,True
71b80ec3-6cca-48b4-b471-08efa00afa2d::t4,P0_same_album_ranker_failure,failure,current_config,That Would Be Enough,"Lin-Manuel Miranda, Phillipa Soo",21,21,1,centroid.anchor_tracks.image_siglip2,7,True,True,True,True,True,False,True,True,True,True
