sample_id,pack,class_type,variant,gt_track,gt_artist,final_rank,fused_rank,best_branch_rank,best_branch,n_branch_pools,union@20,union@50,union@100,union@200,union@1000,final@20,final@50,final@100,final@200,final@1000,protected_best_branch,protected_best_branch_rank,branch_only_best_branch,branch_only_best_branch_rank,additive_best_branch,additive_best_branch_rank,protected_union@20,protected_union@50,protected_union@100,branch_only@20,branch_only@50,branch_only@100,additive_union@20,additive_union@50,additive_union@100
41367174-552b-4117-9caa-d0ba1b307d37::t2,P0_roleless_stale_entity_failure,failure,siglip_visual,Mercy,Muse,,,737,bm25,3,False,False,False,False,True,False,False,False,False,False,,,bm25,737,bm25,737,False,False,False,False,False,False,False,False,False
9b9b7c6b-b376-4d6b-8716-aa7cf0127322::t4,P0_roleless_stale_entity_failure,failure,siglip_visual,The Carbon Stampede,Cattle Decapitation,161,161,148,dense.siglip2_text.visual.image_siglip2,2,False,False,False,True,True,False,False,False,True,True,,,dense.siglip2_text.visual.image_siglip2,148,dense.siglip2_text.visual.image_siglip2,148,False,False,False,False,False,False,False,False,False
88beb200-0334-4aba-be15-8e1303725766::t6,P0_novelty_prior_anchor_failure,failure,siglip_visual,Used To,"Lil Wayne, Drake",,,,,3,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
380a5ed5-3eb9-4201-8fa6-81381a583bf5::t3,P0_novelty_prior_anchor_failure,failure,siglip_visual,God Hates a Coward,Tomahawk,,,828,bm25,2,False,False,False,False,True,False,False,False,False,False,,,bm25,828,bm25,828,False,False,False,False,False,False,False,False,False
15b1caf3-d1ed-46ef-a8e3-c9f7657e6b77::t6,P0_new_artist_union20_gap_failure,failure,siglip_visual,Hong Kong 2046,Hong Kong Express,,,,,2,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
ad5348a7-d3bc-4882-bfca-54aa655eac96::t5,P1_positive_tag_retrieval_gap_failure,failure,siglip_visual,Glitter,"Tyler, The Creator",,,,,2,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False
